product_id,nombre,categoria,unidad,stock_actual,fecha_expiracion
101,Leche Entera 1L,Lácteos,Caja,138,2025-12-31
102,Arroz Blanco 1kg,Granos,Bolsa,492,2025-12-31
103,Aceite Vegetal 900ml,Abarrotes,Botella,161,2025-12-31
104,Pasta 500g,Abarrotes,Paquete,228,2025-12-31
105,Café Molido 250g,Bebidas,Sobre,126,2025-12-31
106,Detergente Líquido 3L,Limpieza,Bidón,65,2025-12-31
107,Atún en Conserva 140g,Enlatados,Lata,432,2025-12-31
108,Huevos (Docena),Fresco,Cartón,52,2025-12-31
109,Harina de Trigo 1kg,Granos,Bolsa,200,2025-12-31
110,Papel Higiénico 4u,Higiene,Pack,143,2025-12-31
